
"WebID","Area","Data label","2021","2021%","2016","2016%","2011","2011%","2006","2006%","Data Type",
"50","Australia","Bicycle","79092","0.6564","107746","1.0085","103891","1.0330","90118","0.9899","UR",
"50","Australia","Walked only","306053","2.5400","370421","3.4671","376932","3.7479","367169","4.0330","UR",
"50","Australia","Other","145216","1.2052","146335","1.3697","132411","1.3166","103778","1.1399","UR",
"50","Australia","Worked at home","2531255","21.0073","503581","4.7135","443921","4.4140","426524","4.6849","UR",
"50","Australia","Did not go to work","1417446","11.7636","1003788","9.3954","1024821","10.1900","995173","10.9309","UR",
"50","Australia","Not stated","59168","0.4910","104063","0.9740","149895","1.4904","163979","1.8011","UR",
"50","Australia","Total employed persons aged 15+","12049412","100.0000","10683796","100.0000","10057156","100.0000","9104187","100.0000","UR",
"100","Carlton (N)","Train","513","5.8528","476","7.3107","450","7.9886","217","4.9521","UR",
"100","Carlton (N)","Bus","141","1.6087","172","2.6417","66","1.1717","75","1.7115","UR",
"100","Carlton (N)","Tram","716","8.1689","1163","17.8621","963","17.0957","583","13.3044","UR",
"100","Carlton (N)","Ferry","0","","5","0.0768","0","","0","","UR",
"100","Carlton (N)","Taxi/ride-share","45","0.5134","18","0.2765","38","0.6746","35","0.7987","UR",
"100","Carlton (N)","Car - as driver","1236","14.1015","1197","18.3843","1056","18.7467","964","21.9991","UR",
"100","Carlton (N)","Car - as passenger","94","1.0724","119","1.8277","63","1.1184","100","2.2821","UR",
"100","Carlton (N)","Truck","0","","5","0.0768","0","","7","0.1597","UR",
"100","Carlton (N)","Motorbike","54","0.6161","27","0.4147","23","0.4083","12","0.2738","UR",
"100","Carlton (N)","Bicycle","287","3.2744","411","6.3124","386","6.8525","187","4.2675","UR",
"100","Carlton (N)","Walked only","1174","13.3942","1804","27.7070","1637","29.0609","1311","29.9178","UR",
"100","Carlton (N)","Other","147","1.6771","130","1.9966","111","1.9705","56","1.2780","UR",
"100","Carlton (N)","Worked at home","3122","35.6189","253","3.8857","221","3.9233","170","3.8795","UR",
"100","Carlton (N)","Did not go to work","1202","13.7136","674","10.3517","562","9.9769","595","13.5783","UR",
"100","Carlton (N)","Not stated","34","0.3879","57","0.8754","57","1.0119","70","1.5974","UR",
"100","Carlton (N)","Total employed persons aged 15+","8765","100.0000","6511","100.0000","5633","100.0000","4382","100.0000","UR",
